field_timestamp,vr
2022-08-05 09:29:20.558,378
2022-08-05 09:29:35.558,378
2022-08-05 09:29:50.557,378
2022-08-05 09:30:05.559,378
2022-08-05 09:30:20.559,379
2022-08-05 09:30:35.559,379
2022-08-05 09:30:50.559,379
2022-08-05 09:31:05.56,379
2022-08-05 09:31:20.561,379
2022-08-05 09:31:35.562,380
2022-08-05 09:31:50.562,379
2022-08-05 09:32:05.563,379
2022-08-05 09:32:20.564,379
2022-08-05 09:32:35.564,377
2022-08-05 09:32:50.564,374
2022-08-05 09:33:05.565,377
2022-08-05 09:33:20.565,376
2022-08-05 09:33:35.566,375
2022-08-05 09:33:50.567,376
2022-08-05 09:34:05.568,376
2022-08-05 09:34:20.57,376
2022-08-05 09:34:35.568,377
2022-08-05 09:34:50.569,377
2022-08-05 09:35:05.568,378
2022-08-05 09:35:20.57,377
2022-08-05 09:35:35.572,377
2022-08-05 09:35:50.571,377
2022-08-05 09:36:05.572,377
2022-08-05 09:36:20.572,378
2022-08-05 09:36:35.574,377
2022-08-05 09:36:50.574,376
2022-08-05 09:37:05.575,379
2022-08-05 09:37:20.575,377
2022-08-05 09:37:35.575,378
2022-08-05 09:37:50.575,378
2022-08-05 09:38:05.577,378
2022-08-05 09:38:20.578,377
2022-08-05 09:38:35.578,374
2022-08-05 09:38:50.579,374
2022-08-05 09:39:05.579,375
2022-08-05 09:39:20.58,374
2022-08-05 09:39:35.58,375
2022-08-05 09:39:50.581,375
2022-08-05 09:40:05.583,376
2022-08-05 09:40:20.582,376
2022-08-05 09:40:35.585,377
2022-08-05 09:40:50.583,377
2022-08-05 09:41:05.584,378
2022-08-05 09:41:20.586,377
2022-08-05 09:41:35.587,377
2022-08-05 09:41:50.587,378
2022-08-05 09:42:05.588,379
2022-08-05 09:42:20.588,379
2022-08-05 09:42:35.588,380
2022-08-05 09:42:50.589,375
2022-08-05 09:43:05.589,377
2022-08-05 09:43:20.59,377
2022-08-05 09:43:35.59,379
2022-08-05 09:43:50.591,379
2022-08-05 09:44:05.591,379
2022-08-05 09:44:20.591,379
